Compound,LD,LQ
TCPY,0.0535234638896473,0.0989243811227015
TEB-OH,0.0381108751197177,0.0809204420031102
TEB,0.0274936682903763,0.0611535488809271
THPI,0.0455534763644274,0.11248330574252
3-hydroxycarbofuran,0.0167980091253205,0.0316571299723186
3PBA,0.0354983535232417,0.0668500669573676
4F3PBA,0.0317973496850582,0.087341268886858
Acetamiprid-N-desmethyl,0.0466593043070378,0.0871169579456338
Acetamiprid,0.0250635355755517,0.0536141853777625
Carbofuran,0.00845906805758458,0.0163047831319678
CMHC,0.024067186216668,0.0601725183616458
DEAMPY,0.051843874901768,0.0993273999117393
IMPY,0.0236027127852882,0.0583836122961918
MDA,0.181641660272548,0.27992553412019
PNP,0.0442894433261684,0.0827783167892289
TCPY,0.0826582344677344,0.154646403393412
TEB-OH,0.0161055365058427,0.0299670171357347
TEB,0.044554636533028,0.0842912909796132
THPI,0.0782891773185301,0.19234415451806
3-hydroxycarbofuran,0.0188157228041257,0.0419488831382144
3PBA,0.0501317639541314,0.0923330140233684
4F3PBA,0.0142189372522803,0.0348225829767094
Acetamiprid-N-desmethyl,0.0433802110526959,0.0802134497648359
Acetamiprid,0.0333842980559998,0.0693854010157017
Carbofuran,0.00899761774049008,0.0221249890337225
CMHC,0.0632520511942627,0.140735433659087
DEAMPY,0.057524618033211,0.10756307082728
IMPY,0.0347448487934473,0.0651977213858609
MDA,0.0170150742083723,0.0427753390574043
PNP,0.0784995089570732,0.158366997501851
TCPY,0.00571351368526888,0.0109158617546085
TEB-OH,0.0241556105532401,0.0457779603786753
TEB,0.0156366493571435,0.03505348374628
THPI,0.0620790570477853,0.128032913518749
3-hydroxycarbofuran,0.0190522666887391,0.0471060844963374
3PBA,0.026008017178764,0.0517135942133456
4F3PBA,0.139646354558377,0.274173864848538
Acetamiprid-N-desmethyl,0.0416188425302136,0.0773989280824524
Acetamiprid,0.0333361278766949,0.0712716418230214
Carbofuran,0.0217659597519725,0.0496618247532226
CMHC,0.0873763064977178,0.171125914554291
DEAMPY,0.0150146509552534,0.0286222919104045
IMPY,0.0252223710121703,0.0475292602156739
MDA,NA,NA
PNP,0.0946134045708588,0.176049655887426
TCPY,0.0594815950962885,0.112975992706389
TEB-OH,0.051074979799952,0.0964262994478948
TEB,0.0378160721759667,0.0840213875394296
THPI,0.107725721116171,0.275234631971432
3-hydroxycarbofuran,0.00652067439873632,0.0162629380559709
3PBA,0.0395583843034272,0.0748857802266905
4F3PBA,0.0436606199776161,0.0836835451582164
Acetamiprid-N-desmethyl,0.00841394224380987,0.0163286073797368
Acetamiprid,0.025365995148137,0.0571184555151655
Carbofuran,0.00457002110752843,0.0115924378737975
CMHC,0.0249654884070557,0.053586525100736
DEAMPY,0.0802822176887964,0.170290833520737
IMPY,0.0437029506325764,0.0818492960340021
